Formula,Energy,sigma bond length,Bond length,O sigma,Cation sigma,DeltaH,T/K
"['Hf', 'Zr', 'Ir', 'Pt']",-6171.49518050481,0.0519456961204164,2.065455416359993,0.5847759526880126,0.0726286372471036,0.2346755226421075,1964.4437485110336
"['Ge', 'Sn', 'Hf', 'Rh']",-5574.930054736472,0.0711016984887402,2.0315488310472563,0.4671732972596645,0.0469942134582653,0.2346854868633858,1964.5271579436776
"['Zr', 'Ru', 'Ir', 'V']",-6018.997116360809,0.0774609336996177,2.022731515704166,0.3893969904955529,0.068857538156142,0.234970244469193,1966.9108334641192
"['Ge', 'Sn', 'Pb', 'Ru']",-4825.923641410581,0.1185775891645255,2.070748147522791,0.2325891058239255,0.055174250690148,0.2353194903149225,1969.8343331568549
"['Ti', 'Hf', 'Zr', 'Ru']",-6854.705013610405,0.0876991423299384,2.0560951236658145,0.4686921758767029,0.0423547863497608,0.2355700035737831,1971.9313529045785
"['Ge', 'Hf', 'Ir', 'Pt']",-5588.44335699458,0.0583905250634396,2.015548825155104,0.4618131524133124,0.0720102823442535,0.2360305553546977,1975.786582698881
"['Ge', 'Zr', 'Rh', 'Pt']",-5347.476858758454,0.076405515390658,2.024339797812192,0.4518314931181434,0.0513438777088003,0.2361401798131721,1976.7042373383997
"['Ge', 'Ru', 'Ir', 'Pt']",-5054.628017389329,0.0391250747510185,1.987699239791868,0.1614347154382081,0.0527119086373378,0.2363141498130785,1978.1605216363816
"['Ge', 'Sn', 'Rh', 'Ru']",-5040.622941302908,0.0608272124268542,2.003683493801723,0.1649804691128281,0.0454721811454856,0.2368900728386123,1982.981511803553
"['Sn', 'Zr', 'Rh', 'Ru']",-5623.291646975954,0.0640988805424913,2.057506215172848,0.4163030699149763,0.0458007266972364,0.2370315941775249,1984.16617182424
"['Ge', 'Hf', 'Ru', 'Pt']",-5657.223410814741,0.0632484256631768,2.0122169239348127,0.4812310270328241,0.0608383944796203,0.2374416549778315,1987.5987470097664
"['Sn', 'Pb', 'Ce', 'Pt']",-4950.258646120024,0.0959773324201198,2.159698318082033,0.5110770776289006,0.0590019656943906,0.2393567561478633,2003.629854467754
"['Ti', 'Sn', 'Zr', 'Ir']",-6033.73315832486,0.0814048474692495,2.0585312397448563,0.4229804148181396,0.056717648589938,0.2395490266874622,2005.239330629927
"['Ti', 'Sn', 'Ce', 'V']",-6026.632397431843,0.1598762070043974,2.09889924114636,0.3132686331530549,0.0679470170467877,0.2404310185281115,2012.6223901756964
"['Ti', 'Sn', 'Zr', 'Ru']",-6102.41986003184,0.0876257202396897,2.0574447240015057,0.3998813900962372,0.0449609810371833,0.2413247830027094,2020.1039971835253
"['Sn', 'Zr', 'Ru', 'Pt']",-5487.421671569734,0.0582750503741519,2.064505181998633,0.4376618824907688,0.0623290477329326,0.2440617500405411,2043.0148560869857
"['Zr', 'Rh', 'Ru', 'Ir']",-5769.400365901223,0.0599011973755783,2.031551347330431,0.3988863979044183,0.0614741556395443,0.2441377518802685,2043.6510593741757
"['Ge', 'Ti', 'Pb', 'Ru']",-5342.665209039799,0.1133661557350967,2.02774528418071,0.413185791213361,0.0522257247374015,0.2443397440514596,2045.341914276626
"['Ge', 'Ti', 'Hf', 'Ru']",-6269.70639308799,0.0802101311283299,2.002307590081626,0.4173998748837344,0.0450860994547003,0.2445297121152165,2046.932116659314
"['Ge', 'Zr', 'Pb', 'Ir']",-5372.751920634626,0.1304031434652775,2.0755254606419866,0.478499882847763,0.0742121886520821,0.2470707919899579,2068.2032250314287
"['Ge', 'Sn', 'Ru', 'Pt']",-4903.927401977532,0.0580539869990619,2.012221905838472,0.2055613797140466,0.0567230009613655,0.2471450877608303,2068.825146998355
"['Ge', 'Sn', 'Zr', 'Rh']",-5439.453001285052,0.083227577539294,2.041827020105526,0.4711690056033513,0.0474383655630925,0.2489160774227459,2083.6499124057527
"['Ge', 'Zr', 'Pb', 'Ru']",-5441.196646193463,0.1402931314927968,2.0772782482855776,0.4802688335661551,0.0725650659558802,0.2497917676338898,2090.98022168363
"['Sn', 'Zr', 'Ce', 'Pt']",-5742.788135990872,0.0928175342180064,2.134851160534572,0.5331660326866317,0.0560096212809376,0.2500063801066243,2092.776719783087
"['Ti', 'Hf', 'Zr', 'Ir']",-6781.825635552932,0.080889802360813,2.056363102056721,0.45822174035071,0.0506608557003398,0.250171889252651,2094.1621791764355
"['Ti', 'Ce', 'Pt', 'V']",-5928.034399910895,0.1367500252423354,2.061044182762668,0.4444826102214648,0.0772943881325617,0.2535217419902125,2122.2034388470106
"['Ge', 'Hf', 'Pb', 'Ir']",-5502.907453419646,0.1195060252075115,2.068872889037152,0.5162544394528533,0.0689053513373828,0.2536273915337199,2123.0878198976616
"['Ge', 'Sn', 'Pb', 'Rh']",-4642.980832274093,0.0991913018844811,2.0622878295897884,0.302224112800484,0.0411534602965042,0.2536675438550437,2123.4239306932177
"['Sn', 'Ce', 'Pt', 'V']",-5408.913905424412,0.1215524764615062,2.0915885811854555,0.3547115101505419,0.0703995180176606,0.2537941712898686,2124.483915432704
"['Ge', 'Ti', 'Pb', 'Rh']",-5161.862880890707,0.1099809301645219,2.0319971341857257,0.4877948219670797,0.0487793753510627,0.254326543734563,2128.9403483366773
"['Ge', 'Ti', 'Sn', 'Ir']",-5447.233991406904,0.0705922076200938,2.0047194194153426,0.3261813085406157,0.0513592807566048,0.2543702445864788,2129.306163503015
"['Ti', 'Hf', 'Ce', 'Pt']",-6392.440478067773,0.1162563582246319,2.0948907035825868,0.5582973773902336,0.0619283398312179,0.2548205706421456,2133.07579484286
"['Ge', 'Zr', 'Ru', 'Pt']",-5520.826864416163,0.0785989534184179,2.021621726052797,0.4161904443795378,0.0627758157806102,0.2552640148620329,2136.7878190700285
"['Ge', 'Hf', 'Zr', 'Rh']",-6187.829353236353,0.0873470492259892,2.0405376606995693,0.547497384169907,0.0438516515041223,0.2584300543503213,2163.290397652936
"['Ge', 'Hf', 'Pb', 'Ru']",-5570.736109180072,0.1286200918829516,2.0680699206754563,0.5499523093022636,0.0588086230019824,0.258754889827693,2166.009560757946
"['Ge', 'Hf', 'Rh', 'Ir']",-5716.491478014763,0.0621485587149357,2.007757000948578,0.4176131186160133,0.0602992225718609,0.2595545181871372,2172.70316439482
"['Ge', 'Sn', 'Hf', 'Ru']",-5746.570415697661,0.0774518787692842,2.031717172233352,0.4091271670240136,0.0473275671014077,0.2604876215080232,2180.514072685518
"['Ge', 'Hf', 'Zr', 'Ce']",-6622.334857251082,0.168201965552783,2.136587820677948,0.3490824126555233,0.0733749233132653,0.2608851056532266,2183.8413700337296
"['Sn', 'Hf', 'Ce', 'Pt']",-5871.484321915849,0.0869663577483195,2.124345003246927,0.5521172371043289,0.0519395094310162,0.2622635533224304,2195.380208323851
"['Hf', 'Zr', 'Rh', 'Ir']",-6297.9924393989095,0.0573762594613438,2.058913134117769,0.5453156977741475,0.0617389445891269,0.2642575406545635,2212.07166342372
"['Ge', 'Zr', 'Rh', 'Ru']",-5651.920688981743,0.0815016220356072,2.013235752360004,0.4157869652482662,0.0473213555849847,0.2668906982202603,2234.113544317562
"['Ti', 'Zr', 'Ce', 'Pt']",-6257.3529897345525,0.1215351889078554,2.1040479820831246,0.506285752748555,0.0660861461423915,0.2675294224585425,2239.4602367326443
"['Zr', 'Pb', 'Ce', 'Ru']",-5874.339559610436,0.1442892989142112,2.170958357624087,0.5441348966193801,0.085769847500064,0.2675323702948597,2239.4849127557754
"['Ge', 'Hf', 'Pb', 'Rh']",-5389.747312324656,0.1029759684662558,2.058799896948132,0.5733830759991875,0.0511619710045705,0.2694700828948759,2255.705298080401
"['Ge', 'Sn', 'Hf', 'Ir']",-5675.003115735,0.0699563471425626,2.033299682499403,0.4159181012829634,0.0563700230682504,0.269964202129028,2259.8415174424413
"['Ge', 'Zr', 'Ir', 'Pt']",-5447.458327675627,0.0730586604369555,2.02576158238421,0.4328754503926449,0.0713061279905211,0.2717766766466143,2275.013548148165
"['Ge', 'Zr', 'Ce', 'V']",-6154.747168111356,0.1596487986723572,2.067146372973879,0.3687553317533326,0.0916510279626822,0.2720144449030499,2277.0038808411136
"['Ge', 'Ti', 'Zr', 'Ru']",-6130.434026298903,0.0952041046962127,2.0114185823392567,0.3777093879308535,0.0464588217819622,0.2735857453998447,2290.1570695640303
"['Zr', 'Ru', 'Ir', 'Pt']",-5627.486201375168,0.0548480938934956,2.03993539132814,0.3940753062473041,0.0779949546971965,0.2747780214926427,2300.1374854618066
"['Ge', 'Zr', 'Pb', 'Ce']",-5691.615669913798,0.1721378159065572,2.156353715619096,0.5313497034142693,0.0732694930190147,0.2750623379374879,2302.517468070929
"['Ge', 'Hf', 'Zr', 'Ru']",-6361.667918548702,0.0938061344885065,2.04124563496236,0.449883991760327,0.0431034040285853,0.2756454532482477,2307.398664089954
"['Ti', 'Pb', 'Ce', 'Pt']",-5459.653085647067,0.1304720042769236,2.1234597333449896,0.5449910833689527,0.0722899278799346,0.2770767290335207,2319.3797209003087
"['Zr', 'Ce', 'Rh', 'V']",-6155.617481615846,0.1416411961870652,2.089163363839869,0.4800614998695467,0.0881848383752556,0.2785777146117114,2331.9443109456824
"['Ge', 'Sn', 'Zr', 'Ce']",-5866.73117537312,0.1560542158191243,2.1259903951918906,0.3529733395981954,0.0678563943774324,0.2796028862516735,2340.525913307108
"['Ge', 'Ti', 'Zr', 'Ce']",-6385.7423210320685,0.1614530364942201,2.068978079152404,0.297648799997468,0.0721212415521922,0.279757600809571,2341.821012355546
"['Ti', 'Sn', 'Ru', 'Ir']",-5620.621025166094,0.054282326647714,2.0204303536281696,0.3053718050400923,0.0518306604708846,0.2833123704495062,2371.5776095410865
"['Hf', 'Pb', 'Ce', 'Ru']",-6001.82399990647,0.1355565485202173,2.158635836586684,0.5800750263388712,0.0731259735919354,0.2845229248737224,2381.71103139996
"['Sn', 'Ce', 'Rh', 'V']",-5534.883302706662,0.1293715990002431,2.0815415020238213,0.3380275999799264,0.0767312421805768,0.2854381487236113,2389.3722725475686
"['Ti', 'Ce', 'Rh', 'V']",-6053.903832873713,0.1455974284297637,2.049266484113832,0.4545850348632035,0.0815826850480665,0.2855562050467357,2390.360509425974
"['Ge', 'Sn', 'Zr', 'Ir']",-5539.1770915635325,0.081378880755664,2.0437617790924865,0.3690197476444978,0.0593107020175546,0.2855579595635822,2390.375196299202
