Formula,sigma bond length_aPbO2,Cation sigma_aPbO2,DeltaH_aPbO2,sigma bond length_bad,Cation sigma_bad,DeltaH_bad,sigma bond length_rut,Cation sigma_rut,DeltaH_rut,rho_aPbO2,rho_bad,rho_rut,Min_rho,Min_Crystal_rho,Min_Crystal_DeltaH,Min_Crystal_sigma
"['Ir', 'Pb', 'Ru', 'Zr']",,,,0.1155126400751589,0.0796184492490159,0.2392326350571769,0.0959127285600597,0.066351406218492,0.2421753274768852,,2.9344567636209375,2.7669737000680823,2.7669737000680823,rut,bad,rut
"['Ce', 'Mn', 'Nb', 'Zr']",0.1318063493057512,0.0845791983181921,0.2034915567974469,,,,0.1285952829343068,0.0988999700628137,0.25551259984538,2.7681382470621667,,3.3534489456081022,2.7681382470621667,aPbO2,aPbO2,aPbO2
"['Ce', 'Hf', 'Mn', 'Nb']",0.1309743498458734,0.0860226094477489,0.232097267011083,0.1297646078093901,0.0821317187705188,0.2097486211567609,0.1220106845104261,0.0956094915414384,0.2402257853651281,2.984077086818982,2.7684265631701668,3.196346979513138,2.7684265631701668,bad,bad,bad
"['Ge', 'Ir', 'V', 'Zr']",0.0922004254559894,0.0645974414205989,0.2811553191751628,0.0911410132794737,0.0674898508914886,0.287544467647745,0.0741614581194812,0.0614839340480193,0.2506535308293962,3.055587503070856,3.141961553333332,2.771177657180774,2.771177657180774,rut,rut,rut
"['Ge', 'Nb', 'Rh', 'Ti']",,,,0.087093156760408,0.0514569701773043,0.3145682450305704,0.0725254855420722,0.0660197142115635,0.243756859491909,,3.2016445427438858,2.77484835820736,2.77484835820736,rut,rut,bad
"['Nb', 'Rh', 'Sn', 'V']",0.0771271694878798,0.05983457182256,0.2700568073282197,0.0768247353996034,0.0514762410097315,0.265855860165451,0.0705717591195206,0.0735028958474003,0.2305404137693605,2.9092200523019174,2.7829603900294644,2.7796655168906836,2.7796655168906836,rut,rut,bad
"['Ge', 'Hf', 'Ru', 'Zr']",0.0938061344885065,0.0431034040285853,0.2756484242017105,0.0954649362670058,0.0475566659076149,0.2730295785205587,,,,2.7880421701434708,2.8055374070397656,,2.7880421701434708,aPbO2,bad,aPbO2
"['Ce', 'Pb', 'Sn', 'V']",0.1735520929974885,0.0899634475016787,0.1929299137687623,,,,0.1340716279546846,0.0760377411313304,0.2521705235778464,2.7956607077663604,,2.9772038286144165,2.7956607077663604,aPbO2,aPbO2,rut
"['Ce', 'Hf', 'Pt', 'Ti']",0.1162563582246319,0.0619283398312179,0.2548205331036364,0.1168782156962358,0.0640932877096062,0.2701510911628162,0.1041846419279231,0.0705064901696746,0.260253578420091,2.810119533233761,2.9601589280659844,2.962890710542726,2.810119533233761,aPbO2,aPbO2,aPbO2
"['Hf', 'Ir', 'V', 'Zr']",0.0804413119255109,0.0657596732133335,0.2682072607827805,0.0820248972657231,0.07250025275492,0.2748395298808894,0.0629834185791815,0.0723236183390843,0.2380622667961454,2.9648758766144927,3.103188708833112,2.818350284759762,2.818350284759762,rut,rut,aPbO2
"['Ge', 'Hf', 'Ir', 'Zr']",0.085253452607062,0.061078140329741,0.3006636400512272,0.0872367768313842,0.0638238690765453,0.3008015445724235,0.0689397874722235,0.0534727393346993,0.2687883265512072,3.1774465834405476,3.2085609209596004,2.828564471924937,2.828564471924937,rut,rut,rut
"['Ge', 'Ir', 'Ru', 'Sn']",,,,0.0580601035298266,0.0517823675993792,0.3189705449147082,0.0500084186970959,0.0613769646719656,0.2590957618630716,,3.242922582488843,2.8378927797821505,2.8378927797821505,rut,rut,bad
"['Ce', 'Mn', 'Nb', 'Ti']",0.170485275597287,0.0792106096114896,0.2274757311774831,0.1678345032691802,0.078241241348241,0.2378630762647606,0.074171643656913,0.0830460022060113,0.2579448751931057,2.8440134272517485,2.903757313403846,3.122009296157553,2.8440134272517485,aPbO2,aPbO2,bad
"['Nb', 'Pb', 'Pt', 'Zr']",0.139857907830118,0.1048062600879474,0.18646646704188,0.117648562423707,0.0925825699732562,0.1933208918023066,0.1502693825290642,0.1056667860789212,0.2055939132255613,3.0350056636033016,2.8453229781379976,3.158668180989695,2.8453229781379976,bad,aPbO2,bad
"['Ge', 'Nb', 'Rh', 'V']",0.0842433455742584,0.0637612781411184,0.3108898591921578,0.0863817491001083,0.0523569893617161,0.3126507295260934,0.0702219844930997,0.0662988019167607,0.252359130848574,3.29203954504433,3.193121733709368,2.845832856801269,2.845832856801269,rut,rut,bad
"['Ce', 'Nb', 'Pb', 'Sn']",0.1498278588499756,0.0825290356499593,0.2202768063237759,0.1536320514169815,0.093751161664297,0.2505830044310375,0.1431749756825139,0.0975633635570139,0.251977794748166,2.8464164309442452,3.2358918642096826,3.3075766473730925,2.8464164309442452,aPbO2,aPbO2,aPbO2
